FID,Region,Country,Plant,NumReactor,Latitude,Longitude
235,America - Northern,UNITED STATES OF AMERICA,SURRY,2,37.1656,-76.6983
236,America - Northern,UNITED STATES OF AMERICA,SUSQUEHANNA,2,41.0917,-76.1486
241,America - Northern,UNITED STATES OF AMERICA,THREE MILE ISLAND,2,40.1531,-76.725
251,America - Northern,UNITED STATES OF AMERICA,TROJAN,1,46.038333,-122.885
253,America - Northern,UNITED STATES OF AMERICA,TURKEY POINT,2,25.435,-80.3314
257,America - Northern,UNITED STATES OF AMERICA,VALLECITOS,1,37.613267,-121.840164
259,America - Northern,UNITED STATES OF AMERICA,VERMONT YANKEE,1,42.7803,-72.5158
261,America - Northern,UNITED STATES OF AMERICA,VIRGIL C. SUMMER,1,34.2958,-81.3203
262,America - Northern,UNITED STATES OF AMERICA,VOGTLE,2,33.1419,-81.7647
264,America - Northern,UNITED STATES OF AMERICA,WATERFORD,1,29.995,-90.4711
265,America - Northern,UNITED STATES OF AMERICA,WATTS BAR,2,35.6028,-84.7903
267,America - Northern,UNITED STATES OF AMERICA,WOLF CREEK,1,38.2389,-95.6889
272,America - Northern,UNITED STATES OF AMERICA,YANKEE,1,42.727839,-72.929108
275,America - Northern,UNITED STATES OF AMERICA,ZION,2,42.446428,-87.803003
